board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender
Capita Spring Break Powder Racer,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-racer-snowboard-review,None,Powder,Beginner - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Good,Great,Average,Good,Good,Average,[],mens
Capita Spring Break Powder Twin,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-twin-2021-review,None,Powder,Advanced - Expert,"8-10, 10-12, > 12",Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Heavy,Great,Good,Good,Great,Good,Great,Great,Average,Average,['2021'],mens
Capita Spring Break Slush Slasher,https://thegoodride.com/snowboard-reviews/capita-spring-break-slush-slasher-2017-2020-snowboard-review,Liked it!,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Excellent,Average,Average,Good,Great,Poor,Average,Average,Average,"['2017', '2020']",mens
Capita Spring Break Twin,https://thegoodride.com/snowboard-reviews/capita-spring-break-twin-2017-2018-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Austria by The Mothership,Asymmetrical Twin,Hybrid Camber,Centered,Feels Light,Average,Good,Good,Good,Good,Excellent,Great,Average,Good,"['2017', '2018']",mens
Capita Super DOA,https://thegoodride.com/snowboard-reviews/capita-super-doa-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,Austria at The Mothership,True Twin,Hybrid Camber,Centered,Feels Light,Poor,Average,Average,Good,Good,Great,Excellent,Average,Good,['2020'],mens
Capita Supernova,https://thegoodride.com/snowboard-reviews/capita-supernova-2020-snowboard-review,None,All Mountain,Advanced - Expert,"< 8, 8-10",Austria by The Mothership,Directional,Directional Camber,Setback -12.5mm,Feels Normal,Good,Great,Great,Great,Great,Good,Great,Average,Good,['2020'],mens
Capita Thunderstick,https://thegoodride.com/snowboard-reviews/capita-thunderstick-2018-snowboard-review,Liked it!,Freestyle,Advanced - Expert,8-10,Austria at the Mothership,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Average,Good,Average,Good,Great,Good,Great,Good,['2018'],mens
Capita Ultrafear,https://thegoodride.com/snowboard-reviews/capita-ultrafear-2012-2019-snowboard-review,Liked it!,Jib / Street,Intermediate - Expert,"8-10, 10-12",Austria at The Mothership,True Twin,Flat to Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Good,Great,Average,Excellent,Average,"['2012', '2019']",mens
Capita Warpspeed,https://thegoodride.com/snowboard-reviews/capita-warpspeed-2018-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,"10-12, > 12",Austria by The Mothership,Directional,Directional Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Great,Good,Great,Average,Good,"['2018', '2020']",mens
D-Day Chris Roach,https://thegoodride.com/snowboard-reviews/d-day-chris-roach-snowboard-review-and-buying-advice,Liked it!,Freeride,Advanced - Expert,8-10,China,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Great,Average,Good,Average,Good,[],mens
D-Day D-Dayve,https://thegoodride.com/snowboard-reviews/d-day-d-dayve-snowboard-review-and-buying-advice,Liked it!,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",China,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Good,Average,Great,Great,Average,Great,[],mens
D-Day Death Card,https://thegoodride.com/snowboard-reviews/d-day-death-card-snowboard-review-and-buying-advice,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,None,Great,Great,Great,Great,Good,Poor,Average,Poor,Average,[],mens
DC HR,https://thegoodride.com/snowboard-reviews/dc-hr-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Directional Camber,Setback over 20mm,Feels Light,Great,Good,Good,Good,Good,Poor,Good,Average,Average,['2019'],mens
DC Mega,https://thegoodride.com/snowboard-reviews/dc-mega-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,True Twin,Mostly Camber,Centered,Feels Light,Poor,Good,Good,Good,Average,Great,Great,Average,Good,"['2013', '2019']",mens
DC Supernatant,https://thegoodride.com/snowboard-reviews/dc-supernatant-2017-2019-snowboard-review,Pretty Good,Freeride,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Directional Camber,Setback -10mm,Feels Normal,Good,Great,Good,Great,Average,Average,Good,Poor,Good,"['2017', '2019']",mens
DC The 156,https://thegoodride.com/snowboard-reviews/dc-the-156-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,Austria by The Mothership,True Twin,Traditional Camber,Centered,Feels Light,Poor,Great,Great,Good,Good,Great,Great,Good,Good,['2019'],mens
Decathlon All Road 500,https://thegoodride.com/snowboard-reviews/decathlon-all-road-500-2020-snowboard-review,None,Freeride,Advanced - Expert,10-12,None,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Good,Good,Good,Average,Good,['2020'],mens
Decathlon Bullwhip 300 Evo,https://thegoodride.com/snowboard-reviews/decathlon-bullwhip-300-evo-2020-snowboard-review,None,None,Advanced - Expert,"< 8, 8-10",None,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Good,Good,Average,Average,Great,Good,Average,Good,['2020'],mens
Decathlon Bullwhip 700,https://thegoodride.com/snowboard-reviews/decathlon-bullwhip-700-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",None,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Good,Good,Good,Poor,Good,[],mens
Decathlon Endzone 500,https://thegoodride.com/snowboard-reviews/decathlon-endzone-500-snowboard-review,None,Freestyle,Beginner - Expert,8-10,None,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Average,Average,Average,Good,Great,Good,Great,Good,[],mens
Decathlon Endzone Park&Ride,https://thegoodride.com/snowboard-reviews/decathlon-endzone-park&ride-2020-snowboard-review,None,All Mountain,Intermediate - Expert,8-10,None,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Good,Good,Good,Great,Good,Average,Average,['2020'],mens
Dinosaurs Will Die Kwon,https://thegoodride.com/snowboard-reviews/dinosaurs-will-die-kwon-2017-2015-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Austria,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Good,Good,Great,Great,Good,Great,"['2017', '2015']",mens
Dinosaurs Will Die Rat,https://thegoodride.com/snowboard-reviews/dinosaurs-will-die-rat-2015-2019-snowboard-review,Liked it!,Jib / Street,Beginner - Expert,8-10,Austria,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Average,Average,Average,Great,Great,Good,Excellent,Average,"['2015', '2019']",mens
Dinosaurs Will Die Wizard Stick,https://thegoodride.com/snowboard-reviews/dinosaurs-will-die-wizard-stick-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,8-10,Austria,Directional,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Good,Good,Great,Good,Good,Good,Good,[],mens
Elevated Surf Craft Goldfish,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-goldfish-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Poor,Average,Poor,Good,['2020'],mens
Elevated Surf Craft Redtail Hawk,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-redtail-hawk-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Poor,Average,Poor,Average,['2020'],mens
Elevated Surf Craft Shortboard,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-shortboard-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,None,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Average,Average,Good,Average,Average,[],mens
Elevated Surf Craft Step-Up,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-step-up-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,None,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Good,Average,Good,Poor,Average,[],mens
Endeavor Alpha,https://thegoodride.com/snowboard-reviews/endeavor-alpha-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Good,Poor,Poor,['2020'],mens
Endeavor Archetype,https://thegoodride.com/snowboard-reviews/endeavor-archetype-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Great,Poor,Good,['2020'],mens
Endeavor BOD,https://thegoodride.com/snowboard-reviews/endeavor-bod-2020-snowboard-review,None,All Mountain Freestyle,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Good,Good,Great,Great,Good,Good,['2020'],mens
Endeavor Clout,https://thegoodride.com/snowboard-reviews/endeavor-clout-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Good,Good,Great,Great,Average,Good,['2020'],mens
Endeavor Color,https://thegoodride.com/snowboard-reviews/endeavor-color-2013-2018-snowboard-review,Liked it!,Freestyle,Intermediate - Expert,8-10,China,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Average,Average,Good,Great,Good,Good,Good,"['2013', '2018']",mens
Endeavor Live,https://thegoodride.com/snowboard-reviews/endeavor-live-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Great,Good,Great,Great,Average,Great,['2020'],mens
Endeavor Maverick,https://thegoodride.com/snowboard-reviews/endeavor-maverick-2018-2020-snowboard-review,Liked it!,Freeride,Intermediate - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Great,Great,Great,Great,Great,Good,Great,Poor,Great,"['2018', '2020']",mens
Endeavor New Standard,https://thegoodride.com/snowboard-reviews/endeavor-new-standard-2018-snowboard-review,Liked it!,Freestyle,Beginner - Expert,"8-10, 10-12",None,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Average,Good,Great,Good,Great,Average,['2018'],mens
Endeavor Pioneer,https://thegoodride.com/snowboard-reviews/endeavor-pioneer-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Great,Great,Great,Great,Great,Great,Average,Great,['2020'],mens
Endeavor Ranger,https://thegoodride.com/snowboard-reviews/endeavor-ranger-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Great,Great,Great,Great,Great,Great,Average,Great,['2020'],mens
Endeavor Scout,https://thegoodride.com/snowboard-reviews/endeavor-scout-2018-2020-snowboard-review,None,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Centered,Feels Light,Great,Great,Great,Great,Good,Average,Great,Average,Great,"['2018', '2020']",mens
Gentemstick Barracuda HP,https://thegoodride.com/snowboard-reviews/gentemstick-barracuda-hp-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Centered,Feels Light,Excellent,Good,Good,Good,Good,Poor,Average,Poor,Good,['2020'],mens
Gentemstick Barracuda,https://thegoodride.com/snowboard-reviews/gentemstick-barracuda-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",None,Tapered Directional,Directional Camber,Setback -10mm,Feels Light,Excellent,Great,Good,Good,Good,Poor,Average,Poor,Average,[],mens
Gentemstick Chaser,https://thegoodride.com/snowboard-reviews/gentemstick-chaser-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Centered,Feels Light,Great,Great,Great,Good,Good,Poor,Average,Poor,Average,['2020'],mens
Gentemstick Chaser HP,https://thegoodride.com/snowboard-reviews/gentemstick-chaser-hp-2019-2020-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"< 8, 8-10",None,Tapered Directional,Directional Camber,Centered,Feels Light,Great,Great,Great,Average,Good,Poor,Average,Poor,Average,"['2019', '2020']",mens
Gentemstick Giant Mantaray,https://thegoodride.com/snowboard-reviews/gentemstick-giant-mantaray-snowboard-review-and-buying-advice,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Poor,Average,Average,Poor,[],mens
Gentemstick Hornet,https://thegoodride.com/snowboard-reviews/gentemstick-hornet-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"< 8, 8-10",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Light,Great,Great,Great,Average,Average,Poor,Average,Poor,Average,[],mens
Gentemstick Independentstick,https://thegoodride.com/snowboard-reviews/gentemstick-independentstick-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,8-10,China,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Great,Great,Great,Great,Great,Average,Great,[],mens
Gentemstick Mantaray 156,https://thegoodride.com/snowboard-reviews/gentemstick-mantaray-156-2019-2020-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Average,Good,Poor,Good,"['2019', '2020']",mens
Gentemstick Mantaray,https://thegoodride.com/snowboard-reviews/gentemstick-mantaray-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,[],mens
Gentemstick Mountain Racer,https://thegoodride.com/snowboard-reviews/gentemstick-mountain-racer-snowboard-review,Pretty Good,Alternative Freeride,Intermediate - Expert,"< 8, 8-10",None,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Good,Average,Average,Great,Average,Poor,Average,Average,Average,[],mens
Gentemstick Rocket Fish,https://thegoodride.com/snowboard-reviews/gentemstick-rocket-fish-2015-2020-snowboard-review,It´s OK,Alternative Freeride,Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Excellent,Good,Good,Average,Average,Poor,Average,Poor,Average,"['2015', '2020']",mens
Gentemstick Rocket Fish HP,https://thegoodride.com/snowboard-reviews/gentemstick-rocket-fish-hp-2015-2020-snowboard-review,It´s OK,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Excellent,Good,Good,Average,Average,Poor,Average,Poor,Average,"['2015', '2020']",mens
Gentemstick Spoonfish 152,https://thegoodride.com/snowboard-reviews/gentemstick-spoonfish-152-2015-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"< 8, 8-10",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Good,Great,Poor,Average,Poor,Good,"['2015', '2019']",mens
Gentemstick Spoonfish,https://thegoodride.com/snowboard-reviews/gentemstick-spoonfish-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,[],mens
Gentemstick Stingray,https://thegoodride.com/snowboard-reviews/gentemstick-stingray-2015-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Average,Average,Good,Poor,Good,"['2015', '2019']",mens
Gentemstick XY,https://thegoodride.com/snowboard-reviews/gentemstick-xy-2019-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Good,Poor,Good,Poor,Average,['2019'],mens
Gentemstick Zephyr,https://thegoodride.com/snowboard-reviews/gentemstick-zephyr-snowboard-review-and-buying-advice,Pretty Good,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Great,Good,Poor,Average,Poor,Poor,[],mens
Gilson Fly,https://thegoodride.com/snowboard-reviews/gilson-fly-2020-snowboard-review,None,Alternative Freeride,Intermediate - Expert,8-10,USA by Gilson,Directional,Directional Camber,Setback over 20mm,Feels Heavy,Great,Good,Good,Good,Good,Poor,Average,Average,Average,['2020'],mens
Gilson Pioneer,https://thegoodride.com/snowboard-reviews/gilson-pioneer-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, > 12",USA by Gilson,True Twin,Mostly Camber,Centered,Feels Heavy,Good,Good,Good,Good,Good,Great,Good,Good,Good,['2020'],mens
Gnu 4,https://thegoodride.com/snowboard-reviews/gnu-4-2020-snowboard-review,None,All Mountain,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Average,Great,['2020'],mens
Gnu Antigravity,https://thegoodride.com/snowboard-reviews/gnu-antigravity-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",None,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Great,Good,Good,Good,Great,['2019'],mens
Gnu Billy Goat,https://thegoodride.com/snowboard-reviews/gnu-billy-goat-2010-2021-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,USA by Mervin,Directional,Mostly Camber,Setback -20mm,Feels Normal,Good,Great,Great,Great,Good,Good,Great,Average,Great,"['2010', '2021']",mens
Gnu Carbon Credit Asym,https://thegoodride.com/snowboard-reviews/gnu-carbon-credit-asym-2017-2019-snowboard-review,Liked it!,Freestyle,Beginner - Expert,"< 8, 8-10, 10-12, > 12",USA by Mervin,Asymmetrical Twin,Continuous Rocker,Centered,Feels Normal,Average,Good,Average,Average,Good,Excellent,Good,Good,Good,"['2017', '2019']",mens
Gnu Fun Guy,https://thegoodride.com/snowboard-reviews/gnu-fun-guy-2020-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Poor,Average,"['2020', '2021']",mens
Gnu Gremlin,https://thegoodride.com/snowboard-reviews/gnu-gremlin-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Average,Good,Average,Good,['2021'],mens
Gnu Head Space,https://thegoodride.com/snowboard-reviews/gnu-head-space-2016-2021-snowboard-review,Liked it!,Jib / Street,Advanced - Expert,"8-10, 10-12",USA by Mervin,Asymmetrical Twin,Mostly Camber,Centered,Feels Normal,Poor,Average,Average,Average,Average,Excellent,Good,Excellent,Good,"['2016', '2021']",mens
Gnu Hyperkyarve,https://thegoodride.com/snowboard-reviews/gnu-hyperkyarve-2017-2019-snowboard-review,Liked it!,Freeride,Beginner - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Great,Good,Good,Great,Average,Good,Average,Good,"['2017', '2019']",mens
Gnu Money,https://thegoodride.com/snowboard-reviews/gnu-money-2019-snowboard-review,Liked it!,All Mountain,Beginner - Expert,"< 8, 8-10, 10-12",USA by Mervin,Directional Twin,Hybrid Rocker,Setback -12.5mm,Feels Normal,Good,Good,Average,Average,Good,Good,Good,Good,Good,['2019'],mens
Gnu Mullair,https://thegoodride.com/snowboard-reviews/gnu-mullair-2017-2020-snowboard-review,Loved it!,Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Excellent,Great,Great,Good,Average,Good,Poor,Good,"['2017', '2020']",mens
Gnu Nuzoid,https://thegoodride.com/snowboard-reviews/gnu-nuzoid-2020-snowboard-reveiw,None,Alternative Freeride,Beginner - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Good,Average,Good,Good,Good,['2020'],mens
Gnu RC C3,https://thegoodride.com/snowboard-reviews/gnu-rc-c3-2021-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,USA by Mervin,Asymmetrical Twin,Mostly Camber,Centered,Feels Normal,Poor,Great,Great,Good,Good,Excellent,Great,Good,Excellent,['2021'],mens
Gnu Riders Choice,https://thegoodride.com/snowboard-reviews/gnu-riders-choice-2010-2019-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12, > 12",USA by Mervin,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Heavy,Average,Average,Average,Average,Good,Excellent,Great,Good,Great,"['2010', '2019']",mens
Gnu Space Case,https://thegoodride.com/snowboard-reviews/gnu-space-case-2013-2019-snowboard-review,Loved it!,Freestyle,Beginner - Expert,8-10,USA by Mervin,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Normal,Average,Great,Good,Good,Good,Excellent,Great,Good,Great,"['2013', '2019']",mens
Gnu SPASYM,https://thegoodride.com/snowboard-reviews/gnu-spasym-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,8-10,USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Good,Average,Good,Poor,Good,['2019'],mens
Gnu Super Progressive Air Machine,https://thegoodride.com/snowboard-reviews/gnu-super-progressive-air-machine-2018-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Good,Average,Good,Poor,Good,"['2018', '2019']",mens
Gnu Swallow Tail Carver,https://thegoodride.com/snowboard-reviews/gnu-swallow-tail-carver-2016-2018-snowboard-review,Pretty Good,Alternative Freeride,Intermediate - Expert,8-10,USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Good,Average,Good,Good,Average,Poor,Good,Poor,Average,"['2016', '2018']",mens
Gnu T2B,https://thegoodride.com/snowboard-reviews/gnu-t2b-2019-snowboard-review,Pretty Good,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",USA by Mervin,True Twin,Hybrid Rocker,Centered,Feels Heavy,Average,Good,Average,Good,Good,Great,Good,Good,Good,['2019'],mens
Gnu Zoid,https://thegoodride.com/snowboard-reviews/gnu-zoid-2015-2018-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,8-10,USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Good,Poor,Average,Poor,Poor,"['2015', '2018']",mens
Jones Aviator,https://thegoodride.com/snowboard-reviews/jones-aviator-2014-2021-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",Dubai by SWS,Directional,Mostly Camber,Setback -20mm,Feels Light,Good,Good,Good,Good,Average,Good,Great,Average,Good,"['2014', '2021']",mens
Jones  Carbon Flagship,https://thegoodride.com/snowboard-reviews/jones-carbon-flagship-2013-2020-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Excellent,Average,Average,Good,Poor,Good,"['2013', '2020']",mens
Jones Explorer,https://thegoodride.com/snowboard-reviews/jones-explorer-2016-2019-snowboard-review,Loved it!,All Mountain,Beginner - Expert,"8-10, 10-12, > 12",Dubai by SWS,Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Great,Good,Great,Good,Good,Good,Average,Good,"['2016', '2019']",mens
Jones Flagship,https://thegoodride.com/snowboard-reviews/jones-flagship-2011-2021-snowboard-review,Loved it!,Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Great,Good,Average,Good,Poor,Good,"['2011', '2021']",mens
Jones Frontier,https://thegoodride.com/snowboard-reviews/jones-frontier-2020-snowboard-review,None,All Mountain,Beginner - Expert,"8-10, 10-12",Dubai by SWS,Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Great,Good,Good,Good,Average,Good,['2020'],mens
Jones Hovercraft,https://thegoodride.com/snowboard-reviews/jones-hovercraft-2011-2021-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Light,Excellent,Great,Great,Excellent,Good,Poor,Good,Poor,Average,"['2011', '2021']",mens
Jones Lone Wolf,https://thegoodride.com/snowboard-reviews/jones-lone-wolf-2018-2021-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,8-10,Dubai by SWS,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Excellent,Good,Good,Great,Good,Poor,Good,Poor,Average,"['2018', '2021']",mens
Jones Mind Expander,https://thegoodride.com/snowboard-reviews/jones-mind-expander-2018-2021-snowboard-review,Loved it!,Powder,Advanced - Expert,"< 8, 8-10",Dubai by SWS,Tapered Directional,Continuous Rocker,Centered,Feels Normal,Excellent,Average,Average,Good,Good,Average,Average,Average,Average,"['2018', '2021']",mens
Jones  Mountain Twin,https://thegoodride.com/snowboard-reviews/jones-mountain-twin-2011-2021-snowboard-review,None,All Mountain,Beginner - Expert,"8-10, 10-12, > 12",Dubai by SWS,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Good,Good,Good,Good,Great,Great,Good,Good,"['2011', '2021']",mens
Jones Storm Chaser,https://thegoodride.com/snowboard-reviews/jones-storm-chaser-2016-2020-snowboard-review,Liked it!,Powder,Advanced - Expert,8-10,Dubai by SWS,Tapered Directional,Flat to Rocker,Setback -12.5mm,Feels Normal,Excellent,Average,Average,Good,Average,Poor,Average,Poor,Average,"['2016', '2020']",mens
Jones Ultra Flagship,https://thegoodride.com/snowboard-reviews/jones-ultra-flagship-2021-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Great,Good,Good,Great,Good,Average,Great,Poor,Good,['2021'],mens
Jones Ultra Mind Expander,https://thegoodride.com/snowboard-reviews/jones-ultra-mind-expander-2019-2021-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,8-10,Dubai by SWS,Tapered Directional,Hybrid Camber,Centered,Feels Normal,Great,Good,Good,Good,Good,Average,Good,Poor,Good,"['2019', '2021']",mens
